,legacy category name,participant,category rank,phase name,aspect name,aspect command,short category name,short category command,long category name,long category command,unique name
190,static source code,5,0,routine,By IDE,\srcide,Src,\srcideSrc,Static Source Code,\srcideSrcL,By IDE / Src
191,test results,5,1,routine,By IDE,\srcide,Test,\srcideTest,Test Results,\srcideTestL,By IDE / Test
192,traces,5,2,routine,By IDE,\srcide,Trc,\srcideTrc,Stack Traces,\srcideTrcL,By IDE / Trc
193,test coverage,5,3,routine,By IDE,\srcide,Cover,\srcideCover,Code Coverage,\srcideCoverL,By IDE / Cover
194,"stdout, stderr and log-files",5,4,routine,By IDE,\srcide,Std,\srcideStd,"stdout, stderr and Log Files",\srcideStdL,By IDE / Std
195,static source code,5,0,feature,By IDE,\srcide,Src,\srcideSrc,Static Source Code,\srcideSrcL,By IDE / Src
196,test results,5,1,feature,By IDE,\srcide,Test,\srcideTest,Test Results,\srcideTestL,By IDE / Test
197,traces,5,2,feature,By IDE,\srcide,Trc,\srcideTrc,Stack Traces,\srcideTrcL,By IDE / Trc
198,test coverage,5,3,feature,By IDE,\srcide,Cover,\srcideCover,Code Coverage,\srcideCoverL,By IDE / Cover
199,static source code,5,0,use-case,By IDE,\srcide,Src,\srcideSrc,Static Source Code,\srcideSrcL,By IDE / Src
200,test results,5,1,use-case,By IDE,\srcide,Test,\srcideTest,Test Results,\srcideTestL,By IDE / Test
201,traces,5,2,use-case,By IDE,\srcide,Trc,\srcideTrc,Stack Traces,\srcideTrcL,By IDE / Trc
202,test coverage,5,3,use-case,By IDE,\srcide,Cover,\srcideCover,Code Coverage,\srcideCoverL,By IDE / Cover
203,"stdout, stderr and log-files",5,4,use-case,By IDE,\srcide,Std,\srcideStd,"stdout, stderr and Log Files",\srcideStdL,By IDE / Std
204,community,5,0,routine,External sources,\srcext,Comm,\srcextComm,Community,\srcextCommL,External sources / Comm
205,community,5,0,use-case,External sources,\srcext,Comm,\srcextComm,Community,\srcextCommL,External sources / Comm
206,information about the related source code,5,0,routine,Information topic,\inftop,RelCode,\inftopRel,Information about Related Source Code,\inftopRelL,Information topic / RelCode
207,special knowledge required for the task,5,1,routine,Information topic,\inftop,SpecKnow,\inftopSpec,Special Knowledge Required for the Task,\inftopSpecL,Information topic / SpecKnow
208,information about the related source code,5,0,feature,Information topic,\inftop,RelCode,\inftopRel,Information about Related Source Code,\inftopRelL,Information topic / RelCode
209,information about the related source code,5,0,use-case,Information topic,\inftop,RelCode,\inftopRel,Information about Related Source Code,\inftopRelL,Information topic / RelCode
210,special knowledge required for the task,5,1,use-case,Information topic,\inftop,SpecKnow,\inftopSpec,Special Knowledge Required for the Task,\inftopSpecL,Information topic / SpecKnow
211,a priori usage,5,0,routine,Utilization,\infuse,APrio,\infuseAPrio,A Priori Usage,\infuseAPrioL,Utilization / APrio
212,integrated usage,5,0,feature,Utilization,\infuse,Integ,\infuseInt,Integrated Usage,\infuseIntL,Utilization / Integ
213,a priori usage,5,0,use-case,Utilization,\infuse,APrio,\infuseAPrio,A Priori Usage,\infuseAPrioL,Utilization / APrio
214,Refactoring during debugging,6,0,routine,Debugging strategies,\dbgstrat,Refact,\dbgstratRefact,Refactoring during debugging,\dbgstratRefactL,Debugging strategies / Refact
215,Down from the Program's Start to the Bug,6,1,routine,Debugging strategies,\dbgstrat,DrillDn,\dbgstratDrilldn,Down from the Program's Start to the Bug,\dbgstratDrilldnL,Debugging strategies / DrillDn
216,Down from the Program's Start to the Bug,6,0,feature,Debugging strategies,\dbgstrat,DrillDn,\dbgstratDrilldn,Down from the Program's Start to the Bug,\dbgstratDrilldnL,Debugging strategies / DrillDn
217,Drill Up from the Problem to the Bug,6,0,use-case,Debugging strategies,\dbgstrat,DrillUp,\dbgstratDrillup,Drill Up from the Problem to the Bug,\dbgstratDrillupL,Debugging strategies / DrillUp
218,Down from the Program's Start to the Bug,6,1,use-case,Debugging strategies,\dbgstrat,DrillDn,\dbgstratDrilldn,Down from the Program's Start to the Bug,\dbgstratDrilldnL,Debugging strategies / DrillDn
219,manual debugging,6,0,routine,Debugging styles,\dbgstyle,ManDeb,\dbgstyleMan,Manual Debugging,\dbgstyleManL,Debugging styles / ManDeb
220,interactive debugging,6,1,routine,Debugging styles,\dbgstyle,IntDeb,\dbgstyleInt,Interactive Debugging,\dbgstyleIntL,Debugging styles / IntDeb
221,manual debugging,6,0,feature,Debugging styles,\dbgstyle,ManDeb,\dbgstyleMan,Manual Debugging,\dbgstyleManL,Debugging styles / ManDeb
222,tool-aided debugging,6,0,use-case,Debugging styles,\dbgstyle,ToolDeb,\dbgstyleTool,Tool-Aided Debugging,\dbgstyleToolL,Debugging styles / ToolDeb
223,manual debugging,6,1,use-case,Debugging styles,\dbgstyle,ManDeb,\dbgstyleMan,Manual Debugging,\dbgstyleManL,Debugging styles / ManDeb
224,inaccessible processes,6,0,routine,Ease of verbalization,\easeverb,InacProc,\easeverbInacc,Inaccessible Processes,\easeverbInaccL,Ease of verbalization / InacProc
225,"unprompted ""braindump""",6,1,routine,Ease of verbalization,\easeverb,Braindump,\easeverbBrainDmp,Unprompted ``Braindump'',\easeverbBrainDmpL,Ease of verbalization / Braindump
226,generalization and second-hand information,6,2,routine,Ease of verbalization,\easeverb,General,\easeverbGener,Generalization and Second-Hand Information,\easeverbGenerL,Ease of verbalization / General
227,"unprompted ""braindump""",6,0,feature,Ease of verbalization,\easeverb,Braindump,\easeverbBrainDmp,Unprompted ``Braindump'',\easeverbBrainDmpL,Ease of verbalization / Braindump
228,generalization and second-hand information,6,1,feature,Ease of verbalization,\easeverb,General,\easeverbGener,Generalization and Second-Hand Information,\easeverbGenerL,Ease of verbalization / General
229,"unprompted ""braindump""",6,0,use-case,Ease of verbalization,\easeverb,Braindump,\easeverbBrainDmp,Unprompted ``Braindump'',\easeverbBrainDmpL,Ease of verbalization / Braindump
230,conformist,6,0,routine,Diverging from routine,\diverg,Conf,\divergConf,Conformist,\divergConfL,Diverging from routine / Conf
231,conformist,6,0,feature,Diverging from routine,\diverg,Conf,\divergConf,Conformist,\divergConfL,Diverging from routine / Conf
232,conservative,6,1,feature,Diverging from routine,\diverg,Cons,\divergCons,Conservative,\divergConsL,Diverging from routine / Cons
233,conformist,6,0,use-case,Diverging from routine,\diverg,Conf,\divergConf,Conformist,\divergConfL,Diverging from routine / Conf
234,ready to assimilate new tools and informations,6,1,use-case,Diverging from routine,\diverg,Ready,\divergReady,Ready to Assimilate New Tools and Information,\divergReadyL,Diverging from routine / Ready
235,static structure,6,0,routine,By IDE,\srcide,Struc,\srcideStruc,Static Structure,\srcideStrucL,By IDE / Struc
236,static source code,6,1,routine,By IDE,\srcide,Src,\srcideSrc,Static Source Code,\srcideSrcL,By IDE / Src
237,test results,6,2,routine,By IDE,\srcide,Test,\srcideTest,Test Results,\srcideTestL,By IDE / Test
238,traces,6,3,routine,By IDE,\srcide,Trc,\srcideTrc,Stack Traces,\srcideTrcL,By IDE / Trc
239,settings and configuration of the IDE or tools,6,4,routine,By IDE,\srcide,Conf,\srcideSets,Settings and Configuration of the IDE or Tools,\srcideSetsL,By IDE / Conf
240,static structure,6,0,feature,By IDE,\srcide,Struc,\srcideStruc,Static Structure,\srcideStrucL,By IDE / Struc
241,static source code,6,1,feature,By IDE,\srcide,Src,\srcideSrc,Static Source Code,\srcideSrcL,By IDE / Src
242,test results,6,2,feature,By IDE,\srcide,Test,\srcideTest,Test Results,\srcideTestL,By IDE / Test
243,static structure,6,0,use-case,By IDE,\srcide,Struc,\srcideStruc,Static Structure,\srcideStrucL,By IDE / Struc
244,static source code,6,1,use-case,By IDE,\srcide,Src,\srcideSrc,Static Source Code,\srcideSrcL,By IDE / Src
245,test coverage,6,2,use-case,By IDE,\srcide,Cover,\srcideCover,Code Coverage,\srcideCoverL,By IDE / Cover
246,iFL,6,3,use-case,By IDE,\srcide,iFL,\srcideIfl,iFL Rank Order,\srcideIflL,By IDE / iFL
247,traces,6,4,use-case,By IDE,\srcide,Trc,\srcideTrc,Stack Traces,\srcideTrcL,By IDE / Trc
248,test results,6,5,use-case,By IDE,\srcide,Test,\srcideTest,Test Results,\srcideTestL,By IDE / Test
249,experiment,6,0,routine,External sources,\srcext,Exp,\srcextExp,This Experiment,\srcextExpL,External sources / Exp
250,community,6,1,routine,External sources,\srcext,Comm,\srcextComm,Community,\srcextCommL,External sources / Comm
251,official,6,2,routine,External sources,\srcext,Offic,\srcextOff,Official Sources,\srcextOffL,External sources / Offic
252,experiment,6,0,feature,External sources,\srcext,Exp,\srcextExp,This Experiment,\srcextExpL,External sources / Exp
253,experiment,6,0,use-case,External sources,\srcext,Exp,\srcextExp,This Experiment,\srcextExpL,External sources / Exp
254,information about the related source code,6,0,routine,Information topic,\inftop,RelCode,\inftopRel,Information about Related Source Code,\inftopRelL,Information topic / RelCode
255,special knowledge required for the task,6,1,routine,Information topic,\inftop,SpecKnow,\inftopSpec,Special Knowledge Required for the Task,\inftopSpecL,Information topic / SpecKnow
256,information about the related source code,6,0,feature,Information topic,\inftop,RelCode,\inftopRel,Information about Related Source Code,\inftopRelL,Information topic / RelCode
257,information about the related source code,6,0,use-case,Information topic,\inftop,RelCode,\inftopRel,Information about Related Source Code,\inftopRelL,Information topic / RelCode
258,a priori usage,6,0,routine,Utilization,\infuse,APrio,\infuseAPrio,A Priori Usage,\infuseAPrioL,Utilization / APrio
259,a priori usage,6,0,feature,Utilization,\infuse,APrio,\infuseAPrio,A Priori Usage,\infuseAPrioL,Utilization / APrio
260,need further information or feature,6,0,use-case,Utilization,\infuse,Furth,\infuseFurth,Need Further Information or Feature,\infuseFurthL,Utilization / Furth
261,integrated usage,6,1,use-case,Utilization,\infuse,Integ,\infuseInt,Integrated Usage,\infuseIntL,Utilization / Integ
262,a priori usage,6,2,use-case,Utilization,\infuse,APrio,\infuseAPrio,A Priori Usage,\infuseAPrioL,Utilization / APrio
