,author id,name,paper id
1443,99/3858,Letha H. Etzkorn,conf/icse/CorleyKEL11
1444,06/3678,Stacy K. Lukins,conf/icse/CorleyKEL11
1445,76/4887,Howard Foster,conf/icse/FosterS11
1446,13/1166,George Spanoudakis,conf/icse/FosterS11
1447,32/3857,Zhongxian Gu,conf/icse/GuBS11
1448,47/1088,Earl T. Barr,conf/icse/GuBS11
1449,s/ZhendongSu,Zhendong Su,conf/icse/GuBS11
1450,16/9657,Jungju Oh,conf/icse/OhHVP11
1451,43/3660,Christopher J. Hughes,conf/icse/OhHVP11
1452,62/4049,Guru Venkataramani,conf/icse/OhHVP11
1453,77/4185,Milos Prvulovic,conf/icse/OhHVP11
1454,25/8376,André Riboira,conf/icse/RiboiraAR11
1455,00/6243,Rui Abreu 0001,conf/icse/RiboiraAR11
1456,71/583-1,Rui Rodrigues 0001,conf/icse/RiboiraAR11
1457,s/MaryLouSoffa,Mary Lou Soffa,conf/icse/SoffaWM11
1458,73/2306,Kristen R. Walcott,conf/icse/SoffaWM11
1459,48/6796,Jason Mars,conf/icse/SoffaWM11
1460,77/9102,Ahmed Tamrawi,conf/icse/TamrawiNAN11
1461,48/5816,Tung Thanh Nguyen,conf/icse/TamrawiNAN11
1462,24/3120,Jafar M. Al-Kofahi,conf/icse/TamrawiNAN11
1463,56/6902,Tien N. Nguyen,conf/icse/TamrawiNAN11
1464,13/3957-1,Lin Tan 0001,conf/icse/TanZP11
1465,99/2747-1,Yuanyuan Zhou 0001,conf/icse/TanZP11
1466,24/4849,Yoann Padioleau,conf/icse/TanZP11
1467,64/1071,Jianguo Wang,conf/icse/WangS11
1468,26/6565,Anita Sarma,conf/icse/WangS11
1469,w/JensHWeberJahnke,Jens H. Weber-Jahnke,conf/icse/Weber-Jahnke11
1470,161/9602,He Zhang 0001,conf/icse/ZhangJHHZ11
1471,99/2957,D. Ross Jeffery,conf/icse/ZhangJHHZ11
1472,51/5602,Dan Houston,conf/icse/ZhangJHHZ11
1473,28/3956,LiGuo Huang,conf/icse/ZhangJHHZ11
1474,52/4318,Liming Zhu,conf/icse/ZhangJHHZ11
1475,48/3637,Shay Artzi,conf/icse/ArtziDTP10
1476,08/7028,Julian Dolby,conf/icse/ArtziDTP10
1477,32/524,Frank Tip,conf/icse/ArtziDTP10
1478,p/MarcoPistoia,Marco Pistoia,conf/icse/ArtziDTP10
1479,93/6557,Steve Counsell,conf/icse/CounsellHHBD10
1480,h/RobertMHierons,Robert M. Hierons,conf/icse/CounsellHHBD10
1481,47/9448,Hamza Hamza,conf/icse/CounsellHHBD10
1482,91/3071,Sue Black 0001,conf/icse/CounsellHHBD10
1483,148/7372,M. Durrand,conf/icse/CounsellHHBD10
1484,09/6388,Emanuel Giger,conf/icse/GigerPG10
1485,98/5177,Martin Pinzger 0001,conf/icse/GigerPG10
1486,g/HaraldGall,Harald C. Gall,conf/icse/GigerPG10
1487,32/3857,Zhongxian Gu,conf/icse/GuBHS10
1488,47/1088,Earl T. Barr,conf/icse/GuBHS10
1489,35/5762,David J. Hamilton,conf/icse/GuBHS10
1490,s/ZhendongSu,Zhendong Su,conf/icse/GuBHS10
1491,32/193,Philip J. Guo,conf/icse/GuoZNM10
1492,19/3622-1,Thomas Zimmermann 0001,conf/icse/GuoZNM10
1493,91/1758,Nachiappan Nagappan,conf/icse/GuoZNM10
1494,24/4066,Brendan Murphy,conf/icse/GuoZNM10
1495,77/2966,Piramanayagam Arumuga Nainar,conf/icse/NainarL10
1496,l/BenLiblit,Ben Liblit,conf/icse/NainarL10
1497,48/5816,Tung Thanh Nguyen,conf/icse/NguyenNPAN10
1498,51/6992,Hoan Anh Nguyen,conf/icse/NguyenNPAN10
1499,56/3938,Nam H. Pham,conf/icse/NguyenNPAN10
1500,24/3120,Jafar M. Al-Kofahi,conf/icse/NguyenNPAN10
1501,56/6902,Tien N. Nguyen,conf/icse/NguyenNPAN10
1502,18/6359,Sangmin Park,conf/icse/ParkVH10
1503,v/RVuduc,Richard W. Vuduc,conf/icse/ParkVH10
1504,h/MaryJeanHarrold,Mary Jean Harrold,conf/icse/ParkVH10
1505,30/3650,Frances Paulisch,conf/icse/PaulischZ10
1506,82/989,Peter Zimmerer,conf/icse/PaulischZ10
1507,72/6698,Sarah Rastkar,conf/icse/RastkarMM10
1508,95/712,Gail C. Murphy,conf/icse/RastkarMM10
1509,69/4961,Gabriel Murray,conf/icse/RastkarMM10
1510,66/4832,Neha Rungta,conf/icse/RungtaM10
1511,m/EricMercer,Eric Mercer,conf/icse/RungtaM10
1512,29/4909,Swarup Kumar Sahoo,conf/icse/SahooCA10
1513,03/2122,John Criswell,conf/icse/SahooCA10
1514,78/4438,Vikram S. Adve,conf/icse/SahooCA10
1515,54/2079,Yoonki Song,conf/icse/SongWXZM10
1516,31/6028,Xiaoyin Wang,conf/icse/SongWXZM10
1517,x/TaoXie,Tao Xie 0001,conf/icse/SongWXZM10
1518,z/LuZhang1,Lu Zhang 0023,conf/icse/SongWXZM10
1519,14/2036,Hong Mei,conf/icse/SongWXZM10
1520,95/7537,Stefan Strobl,conf/icse/StroblBG10
1521,66/1364,Mario Bernhart,conf/icse/StroblBG10
1522,25/4726,Thomas Grechenig,conf/icse/StroblBG10
1523,04/7120,Chengnian Sun,conf/icse/SunLWJK10
1524,89/6793-1,David Lo 0001,conf/icse/SunLWJK10
1525,31/6028,Xiaoyin Wang,conf/icse/SunLWJK10
1526,68/1974-5,Jing Jiang 0005,conf/icse/SunLWJK10
1527,k/SiauChenKhoo,Siau-Cheng Khoo,conf/icse/SunLWJK10
1528,82/6384,Cheng Zhang,conf/icse/ZhangYZCY10
1529,51/8164,Dacong Yan,conf/icse/ZhangYZCY10
1530,71/6948,Jianjun Zhao,conf/icse/ZhangYZCY10
1531,21/6510,Yuting Chen,conf/icse/ZhangYZCY10
1532,16/8164,Shengqian Yang,conf/icse/ZhangYZCY10
1533,89/3856,Jorge Aranda,conf/icse/ArandaV09
1534,v/GinaVenolia,Gina Venolia,conf/icse/ArandaV09
1535,b/ThomasBall,Thomas Ball,conf/icse/BallBHMQ09
1536,84/1935,Sebastian Burckhardt,conf/icse/BallBHMQ09
1537,37/3407,Jonathan de Halleux,conf/icse/BallBHMQ09
1538,95/6578,Madanlal Musuvathi,conf/icse/BallBHMQ09
1539,q/ShazQadeer,Shaz Qadeer,conf/icse/BallBHMQ09
1540,18/948,Jordi Cabot,conf/icse/CabotEHLLM09
1541,e/SMEasterbrook,Steve M. Easterbrook,conf/icse/CabotEHLLM09
1542,92/5983,Jennifer Horkoff,conf/icse/CabotEHLLM09
1543,33/2227,Lysanne Lessard,conf/icse/CabotEHLLM09
1544,91/4573,Sotirios Liaskos,conf/icse/CabotEHLLM09
1545,40/3898,Jose-Norberto Mazón,conf/icse/CabotEHLLM09
1546,99/2941,Trishul M. Chilimbi,conf/icse/ChilimbiLMNV09
1547,l/BenLiblit,Ben Liblit,conf/icse/ChilimbiLMNV09
1548,60/5586,Krishna K. Mehra,conf/icse/ChilimbiLMNV09
1549,n/AdityaVNori,Aditya V. Nori,conf/icse/ChilimbiLMNV09
1550,48/1784,Kapil Vaswani,conf/icse/ChilimbiLMNV09
1551,48/7690,Carlton A. Crabtree,conf/icse/CrabtreeKSE09
1552,41/5540,Akif Günes Koru,conf/icse/CrabtreeKSE09
1553,s/CarolynBSeaman,Carolyn B. Seaman,conf/icse/CrabtreeKSE09
1554,e/HakanErdogmus,Hakan Erdogmus,conf/icse/CrabtreeKSE09
1555,20/1090,Dimitris Dranidis,conf/icse/DranidisMS09
1556,74/6318,Stephen P. Masticola,conf/icse/DranidisMS09
1557,92/5917,Paul A. Strooper,conf/icse/DranidisMS09
1558,50/456,Dan Hao,conf/icse/HaoZZSM09
1559,27/7057,Lingming Zhang,conf/icse/HaoZZSM09
1560,z/LuZhang1,Lu Zhang 0023,conf/icse/HaoZZSM09
1561,76/2820,Jiasu Sun,conf/icse/HaoZZSM09
1562,14/2036,Hong Mei,conf/icse/HaoZZSM09
1563,08/7057,Tilman Holschuh,conf/icse/HolschuhPHZPZ09
1564,65/7056,Markus Pauser,conf/icse/HolschuhPHZPZ09
1565,32/7057,Kim Herzig,conf/icse/HolschuhPHZPZ09
1566,19/3622-1,Thomas Zimmermann 0001,conf/icse/HolschuhPHZPZ09
1567,08/4181,Rahul Premraj,conf/icse/HolschuhPHZPZ09
1568,z/AndreasZeller,Andreas Zeller,conf/icse/HolschuhPHZPZ09
1569,s/REKurtStirewalt,R. E. Kurt Stirewalt,conf/icse/StirewaltRHZ09
1570,75/4670,Spencer Rugaber,conf/icse/StirewaltRHZ09
1571,84/2467,Hwa-You Hsu,conf/icse/StirewaltRHZ09
1572,28/1014,David Zook,conf/icse/StirewaltRHZ09
1573,21/3775,Xinming Wang,conf/icse/WangCCZ09
1574,c/SCCheung,Shing-Chi Cheung,conf/icse/WangCCZ09
