,author id,name,paper id
1343,28/5010,Steven Versteeg,conf/icse/ZhangGV13
1344,131/5351,Tulio de Souza Alcantara,conf/icse/AlcantaraBFM12
1345,163/0065,Pierre Bastianelli,conf/icse/AlcantaraBFM12
1346,31/6462,Jennifer Ferreira,conf/icse/AlcantaraBFM12
1347,m/FrankMaurer,Frank Maurer,conf/icse/AlcantaraBFM12
1348,25/6566,Olga Baysal,conf/icse/BaysalHG12
1349,18/1889,Reid Holmes,conf/icse/BaysalHG12
1350,g/MichaelWGodfrey,Michael W. Godfrey,conf/icse/BaysalHG12
1351,116/6697,Kevin Boos,conf/icse/BoosFJK12
1352,26/1639,Chien-Liang Fok,conf/icse/BoosFJK12
1353,j/ChristineJulien,Christine Julien 0001,conf/icse/BoosFJK12
1354,56/5320,Miryung Kim,conf/icse/BoosFJK12
1355,82/4849,Richard Burns,conf/icse/BurnsHP12
1356,11/6934,Terry Harvey,conf/icse/BurnsHP12
1357,p/LLPollock,Lori L. Pollock,conf/icse/BurnsHP12
1358,52/3888,Mariano Ceccato,conf/icse/CeccatoMMNT12
1359,82/4640,Alessandro Marchetto,conf/icse/CeccatoMMNT12
1360,27/2914,Leonardo Mariani,conf/icse/CeccatoMMNT12
1361,34/2299,Cu D. Nguyen,conf/icse/CeccatoMMNT12
1362,54/2734,Paolo Tonella,conf/icse/CeccatoMMNT12
1363,157/9205,Eliane Figueiredo Collins,conf/icse/CollinsL12
1364,97/4535,Vicente Ferreira de Lucena,conf/icse/CollinsL12
1365,47/10488,Yingnong Dang,conf/icse/DangWZZN12
1366,92/9102,Rongxin Wu,conf/icse/DangWZZN12
1367,29/2726-2,Hongyu Zhang 0002,conf/icse/DangWZZN12
1368,87/461,Dongmei Zhang,conf/icse/DangWZZN12
1369,82/8198,Peter Nobel,conf/icse/DangWZZN12
1370,d/RobertDeLine,Robert DeLine,conf/icse/DeLineBRJR12
1371,51/1642,Andrew Bragdon,conf/icse/DeLineBRJR12
1372,64/8164,Kael Rowan,conf/icse/DeLineBRJR12
1373,48/8827,Jens Jacobsen,conf/icse/DeLineBRJR12
1374,r/StevenPReiss,Steven P. Reiss,conf/icse/DeLineBRJR12
1375,70/3155,Ross Gore,conf/icse/GoreR12
1376,59/5690,Paul F. Reynolds Jr.,conf/icse/GoreR12
1377,93/4573,Claire Le Goues,conf/icse/GouesDFW12
1378,116/6650,Michael Dewey-Vogt,conf/icse/GouesDFW12
1379,24/2144,Stephanie Forrest,conf/icse/GouesDFW12
1380,05/4127,Westley Weimer,conf/icse/GouesDFW12
1381,23/3395,Shi Han,conf/icse/HanDGZX12
1382,47/10488,Yingnong Dang,conf/icse/HanDGZX12
1383,72/7237,Song Ge,conf/icse/HanDGZX12
1384,87/461,Dongmei Zhang,conf/icse/HanDGZX12
1385,x/TaoXie,Tao Xie 0001,conf/icse/HanDGZX12
1386,57/4288,Hideaki Hata,conf/icse/HataMK12
1387,85/3447,Osamu Mizuno,conf/icse/HataMK12
1388,86/2145,Tohru Kikuno,conf/icse/HataMK12
1389,66/2173-1,Wei Jin 0001,conf/icse/JinO12
1390,35/805,Alessandro Orso,conf/icse/JinO12
1391,47/3099,Jingyue Li,conf/icse/LiE12
1392,e/MDErnst,Michael D. Ernst,conf/icse/LiE12
1393,11/9103,Lucia,conf/icse/LuciaLJB12
1394,89/6793-1,David Lo 0001,conf/icse/LuciaLJB12
1395,82/3572,Lingxiao Jiang,conf/icse/LuciaLJB12
1396,94/9102,Aditya Budi,conf/icse/LuciaLJB12
1397,116/6700,Tanja Mayerhofer,conf/icse/Mayerhofer12
1398,25/2188,Michael Pradel,conf/icse/PradelG12
1399,g/ThomasRGross,Thomas R. Gross,conf/icse/PradelG12
1400,88/8522,Jorge Ressia,conf/icse/RessiaBN12
1401,89/3322,Alexandre Bergel,conf/icse/RessiaBN12
1402,n/ONierstrasz,Oscar Nierstrasz,conf/icse/RessiaBN12
1403,42/10082,Jeremias Rößler,conf/icse/Rossler12
1404,22/10607,Francisco Servant,conf/icse/ServantJ12
1405,57/6158,James A. Jones,conf/icse/ServantJ12
1406,85/2806,Myoungkyu Song,conf/icse/SongT12a
1407,00/869,Eli Tilevich,conf/icse/SongT12a
1408,116/6694,Tom Sprenger,conf/icse/Sprenger12
1409,39/5423-8,Yuan Tian 0008,conf/icse/TianLL12
1410,l/JuliaLLawall,Julia L. Lawall,conf/icse/TianLL12
1411,89/6793-1,David Lo 0001,conf/icse/TianLL12
1412,25/6785,Wanzhi Wen,conf/icse/Wen12
1413,86/4142,Jifeng Xuan,conf/icse/XuanJRZ12
1414,30/3790-1,He Jiang 0001,conf/icse/XuanJRZ12
1415,85/6484,Zhilei Ren,conf/icse/XuanJRZ12
1416,28/10592,Weiqin Zou,conf/icse/XuanJRZ12
1417,95/3760,Xiangyu Zhang,conf/icse/ZhangLY12
1418,65/8655,Mengxiang Lin,conf/icse/ZhangLY12
1419,197/1322,Kai Yu,conf/icse/ZhangLY12
1420,97/97,Jian Zhou,conf/icse/ZhouZL12
1421,29/2726-2,Hongyu Zhang 0002,conf/icse/ZhouZL12
1422,89/6793-1,David Lo 0001,conf/icse/ZhouZL12
1423,19/3622-1,Thomas Zimmermann 0001,conf/icse/ZimmermannNGM12
1424,91/1758,Nachiappan Nagappan,conf/icse/ZimmermannNGM12
1425,32/193,Philip J. Guo,conf/icse/ZimmermannNGM12
1426,24/4066,Brendan Murphy,conf/icse/ZimmermannNGM12
1427,b/BarryWBoehm,Barry W. Boehm,conf/icse/BoehmV11
1428,41/470,Ricardo Valerdi,conf/icse/BoehmV11
1429,24/2191,Gerald Bortis,conf/icse/BortisH11
1430,h/AndrevanderHoek,André van der Hoek,conf/icse/BortisH11
1431,c/SatishChandra,Satish Chandra 0001,conf/icse/ChandraTBB11
1432,55/1457,Emina Torlak,conf/icse/ChandraTBB11
1433,37/7791,Shaon Barman,conf/icse/ChandraTBB11
1434,20/1858,Rastislav Bodík,conf/icse/ChandraTBB11
1435,117/0663,Christopher S. Corley,conf/icse/CorleyKEL11
1436,31/2231,Nicholas A. Kraft,conf/icse/CorleyKEL11
1437,99/3858,Letha H. Etzkorn,conf/icse/CorleyKEL11
1438,06/3678,Stacy K. Lukins,conf/icse/CorleyKEL11
1439,76/4887,Howard Foster,conf/icse/FosterS11
1440,13/1166,George Spanoudakis,conf/icse/FosterS11
1441,32/3857,Zhongxian Gu,conf/icse/GuBS11
1442,47/1088,Earl T. Barr,conf/icse/GuBS11
1443,s/ZhendongSu,Zhendong Su,conf/icse/GuBS11
1444,16/9657,Jungju Oh,conf/icse/OhHVP11
1445,43/3660,Christopher J. Hughes,conf/icse/OhHVP11
1446,62/4049,Guru Venkataramani,conf/icse/OhHVP11
1447,77/4185,Milos Prvulovic,conf/icse/OhHVP11
1448,25/8376,André Riboira,conf/icse/RiboiraAR11
1449,00/6243,Rui Abreu 0001,conf/icse/RiboiraAR11
1450,71/583-1,Rui Rodrigues 0001,conf/icse/RiboiraAR11
1451,s/MaryLouSoffa,Mary Lou Soffa,conf/icse/SoffaWM11
1452,73/2306,Kristen R. Walcott,conf/icse/SoffaWM11
1453,48/6796,Jason Mars,conf/icse/SoffaWM11
1454,77/9102,Ahmed Tamrawi,conf/icse/TamrawiNAN11
1455,48/5816,Tung Thanh Nguyen,conf/icse/TamrawiNAN11
1456,24/3120,Jafar M. Al-Kofahi,conf/icse/TamrawiNAN11
1457,56/6902,Tien N. Nguyen,conf/icse/TamrawiNAN11
1458,13/3957-1,Lin Tan 0001,conf/icse/TanZP11
1459,99/2747-1,Yuanyuan Zhou 0001,conf/icse/TanZP11
1460,24/4849,Yoann Padioleau,conf/icse/TanZP11
1461,64/1071,Jianguo Wang,conf/icse/WangS11
1462,26/6565,Anita Sarma,conf/icse/WangS11
1463,w/JensHWeberJahnke,Jens H. Weber-Jahnke,conf/icse/Weber-Jahnke11
1464,161/9602,He Zhang 0001,conf/icse/ZhangJHHZ11
1465,99/2957,D. Ross Jeffery,conf/icse/ZhangJHHZ11
1466,51/5602,Dan Houston,conf/icse/ZhangJHHZ11
1467,28/3956,LiGuo Huang,conf/icse/ZhangJHHZ11
1468,52/4318,Liming Zhu,conf/icse/ZhangJHHZ11
1469,48/3637,Shay Artzi,conf/icse/ArtziDTP10
1470,08/7028,Julian Dolby,conf/icse/ArtziDTP10
1471,32/524,Frank Tip,conf/icse/ArtziDTP10
1472,p/MarcoPistoia,Marco Pistoia,conf/icse/ArtziDTP10
1473,93/6557,Steve Counsell,conf/icse/CounsellHHBD10
1474,h/RobertMHierons,Robert M. Hierons,conf/icse/CounsellHHBD10
1475,47/9448,Hamza Hamza,conf/icse/CounsellHHBD10
1476,91/3071,Sue Black 0001,conf/icse/CounsellHHBD10
1477,148/7372,M. Durrand,conf/icse/CounsellHHBD10
1478,09/6388,Emanuel Giger,conf/icse/GigerPG10
1479,98/5177,Martin Pinzger 0001,conf/icse/GigerPG10
1480,g/HaraldGall,Harald C. Gall,conf/icse/GigerPG10
1481,32/3857,Zhongxian Gu,conf/icse/GuBHS10
1482,47/1088,Earl T. Barr,conf/icse/GuBHS10
1483,35/5762,David J. Hamilton,conf/icse/GuBHS10
1484,s/ZhendongSu,Zhendong Su,conf/icse/GuBHS10
1485,32/193,Philip J. Guo,conf/icse/GuoZNM10
1486,19/3622-1,Thomas Zimmermann 0001,conf/icse/GuoZNM10
1487,91/1758,Nachiappan Nagappan,conf/icse/GuoZNM10
1488,24/4066,Brendan Murphy,conf/icse/GuoZNM10
1489,77/2966,Piramanayagam Arumuga Nainar,conf/icse/NainarL10
1490,l/BenLiblit,Ben Liblit,conf/icse/NainarL10
1491,48/5816,Tung Thanh Nguyen,conf/icse/NguyenNPAN10
1492,51/6992,Hoan Anh Nguyen,conf/icse/NguyenNPAN10
1493,56/3938,Nam H. Pham,conf/icse/NguyenNPAN10
1494,24/3120,Jafar M. Al-Kofahi,conf/icse/NguyenNPAN10
1495,56/6902,Tien N. Nguyen,conf/icse/NguyenNPAN10
1496,18/6359,Sangmin Park,conf/icse/ParkVH10
1497,v/RVuduc,Richard W. Vuduc,conf/icse/ParkVH10
1498,h/MaryJeanHarrold,Mary Jean Harrold,conf/icse/ParkVH10
1499,30/3650,Frances Paulisch,conf/icse/PaulischZ10
1500,82/989,Peter Zimmerer,conf/icse/PaulischZ10
1501,72/6698,Sarah Rastkar,conf/icse/RastkarMM10
1502,95/712,Gail C. Murphy,conf/icse/RastkarMM10
1503,69/4961,Gabriel Murray,conf/icse/RastkarMM10
1504,66/4832,Neha Rungta,conf/icse/RungtaM10
1505,m/EricMercer,Eric Mercer,conf/icse/RungtaM10
1506,29/4909,Swarup Kumar Sahoo,conf/icse/SahooCA10
1507,03/2122,John Criswell,conf/icse/SahooCA10
1508,78/4438,Vikram S. Adve,conf/icse/SahooCA10
1509,54/2079,Yoonki Song,conf/icse/SongWXZM10
1510,31/6028,Xiaoyin Wang,conf/icse/SongWXZM10
1511,x/TaoXie,Tao Xie 0001,conf/icse/SongWXZM10
1512,z/LuZhang1,Lu Zhang 0023,conf/icse/SongWXZM10
1513,14/2036,Hong Mei,conf/icse/SongWXZM10
1514,95/7537,Stefan Strobl,conf/icse/StroblBG10
1515,66/1364,Mario Bernhart,conf/icse/StroblBG10
1516,25/4726,Thomas Grechenig,conf/icse/StroblBG10
1517,04/7120,Chengnian Sun,conf/icse/SunLWJK10
1518,89/6793-1,David Lo 0001,conf/icse/SunLWJK10
1519,31/6028,Xiaoyin Wang,conf/icse/SunLWJK10
1520,68/1974-5,Jing Jiang 0005,conf/icse/SunLWJK10
1521,k/SiauChenKhoo,Siau-Cheng Khoo,conf/icse/SunLWJK10
1522,82/6384,Cheng Zhang,conf/icse/ZhangYZCY10
1523,51/8164,Dacong Yan,conf/icse/ZhangYZCY10
1524,71/6948,Jianjun Zhao,conf/icse/ZhangYZCY10
1525,21/6510,Yuting Chen,conf/icse/ZhangYZCY10
1526,16/8164,Shengqian Yang,conf/icse/ZhangYZCY10
1527,89/3856,Jorge Aranda,conf/icse/ArandaV09
1528,v/GinaVenolia,Gina Venolia,conf/icse/ArandaV09
1529,b/ThomasBall,Thomas Ball,conf/icse/BallBHMQ09
1530,84/1935,Sebastian Burckhardt,conf/icse/BallBHMQ09
1531,37/3407,Jonathan de Halleux,conf/icse/BallBHMQ09
1532,95/6578,Madanlal Musuvathi,conf/icse/BallBHMQ09
1533,q/ShazQadeer,Shaz Qadeer,conf/icse/BallBHMQ09
1534,18/948,Jordi Cabot,conf/icse/CabotEHLLM09
1535,e/SMEasterbrook,Steve M. Easterbrook,conf/icse/CabotEHLLM09
1536,92/5983,Jennifer Horkoff,conf/icse/CabotEHLLM09
1537,33/2227,Lysanne Lessard,conf/icse/CabotEHLLM09
1538,91/4573,Sotirios Liaskos,conf/icse/CabotEHLLM09
1539,40/3898,Jose-Norberto Mazón,conf/icse/CabotEHLLM09
1540,99/2941,Trishul M. Chilimbi,conf/icse/ChilimbiLMNV09
1541,l/BenLiblit,Ben Liblit,conf/icse/ChilimbiLMNV09
1542,60/5586,Krishna K. Mehra,conf/icse/ChilimbiLMNV09
1543,n/AdityaVNori,Aditya V. Nori,conf/icse/ChilimbiLMNV09
1544,48/1784,Kapil Vaswani,conf/icse/ChilimbiLMNV09
1545,48/7690,Carlton A. Crabtree,conf/icse/CrabtreeKSE09
1546,41/5540,Akif Günes Koru,conf/icse/CrabtreeKSE09
1547,s/CarolynBSeaman,Carolyn B. Seaman,conf/icse/CrabtreeKSE09
1548,e/HakanErdogmus,Hakan Erdogmus,conf/icse/CrabtreeKSE09
1549,20/1090,Dimitris Dranidis,conf/icse/DranidisMS09
1550,74/6318,Stephen P. Masticola,conf/icse/DranidisMS09
1551,92/5917,Paul A. Strooper,conf/icse/DranidisMS09
1552,50/456,Dan Hao,conf/icse/HaoZZSM09
1553,27/7057,Lingming Zhang,conf/icse/HaoZZSM09
1554,z/LuZhang1,Lu Zhang 0023,conf/icse/HaoZZSM09
1555,76/2820,Jiasu Sun,conf/icse/HaoZZSM09
1556,14/2036,Hong Mei,conf/icse/HaoZZSM09
1557,08/7057,Tilman Holschuh,conf/icse/HolschuhPHZPZ09
